text,negative_yn_self,distortion_yn,magnitude,distortion_category,negative_yn.y,thoughtcat,userid,Positive,Negative
: it isn't everyday that you get to have conversation with pirate and prophet- come- catholic- come- nun :),2,2,,,no,NA,39b2af957c2488970cb89c161b6bf94e,2,-1
": oh bed... oh warm, loving and comfortable bed... shall one day write you sonnet but not now, want to sleep ??)",2,2,,,yes,1,39b2af957c2488970cb89c161b6bf94e,4,-1
": should really start going to my lectures or not walking out half way through, however seeing kingfisher really made my day :)",2,2,,,yes,1,39b2af957c2488970cb89c161b6bf94e,1,-1
: this practical is pointless... no one knows what they are doing and the lecturer doesn't make sense!,1,2,3,,yes,1,39b2af957c2488970cb89c161b6bf94e,2,-2
": when life starts giving you lemons sometimes it's good to throw them back, other times it's better to pick them up and walk away (and make cake)",2,2,,,yes,1,39b2af957c2488970cb89c161b6bf94e,3,-1
":: ahh finals week: papers due, finals, poster presentation, group conference, respite care, neuro-psych results, plus the /normal/"" weekly activities.....is it Saturday yet?? :-|""",1,2,3,,yes,1,cb02460576e27f95654a9a0ef548fe5b,2,-1
?? of vouchers for churchills and the promiss that the package in the post office is footed bunny PJ's,2,2,,,no,NA,2549774d68d7ccbcba069afb45c7e237,2,-1
"???????????????????? Today it??s the crazy peoples day! If you know someone who is crazy, or if you are bit crazy yourself. Put this in your status and be happy ...that you??re not like everyone else!!! :) ????????????????????",2,2,,,no,NA,dcbe08425f5edef5e5c1053f21e83640,2,-3
"??la fantasia pu?? portare male se non si conosce bene come domarla, ma costa poco, val quel che vale, nessuno ti pu?? pi?? impedire di adoperarla??",2,2,,,no,NA,3aac76fd5c5b0115f67dfcfe3850cf7c,1,-1
"?"" Yesterday is gone. Tomorrow has not yet come. We have only today. Let us begin. ?"" - Mother Teresa ( ?- )",2,2,,,no,NA,dcbe08425f5edef5e5c1053f21e83640,1,-1
"?""Smile and others will smile back. Smile to show how transparent, how candid you are. Smile if you have nothing to say. Most of all, do not hide the fact you have nothing to say nor your total indifference to others. Let this emptiness, this profound indifference shine out spontaneously in your smile.?"" Jean Baudrillard",2,2,,,no,NA,cfb021cfbff46ffdb75c7dcafe7c2087,3,-3
"?""Sometimes think the surest sign that intelligent life exists elsewhere in the universe is that none of it has tried to contact us.?""",2,2,,,no,NA,3ac58ad39d81acfe169aadc4815effe6,2,-1
"?""Work like you don't need the money, love like your heart has never been broken, and dance like no one is watching?"" __ Aurora Greenway",2,2,,,no,NA,009d96a823b6f6c085c092fb177491f6,3,-3
"... notifications, all from Carolina Barros commenting and liking everything on my profile to spam the heck out of me. Wow... thanks. XD",2,2,,,yes,1,7959e48a5c9869a5eb172935f082daa4,3,-2
"...during the silences of practice, between the buzzing and the ringing and yelling of obscenities. xD",2,2,,,yes,1,ca4591994c00795feecfdf8c5d96d6c9,1,-1
"...ok, no longer emo...again. completely pissed and miserable all day because of some stupid error in communication...forgive me for that scolding, max!",1,2,4,negative filter,yes,1,b57dcbe1b484eb302cb9da59bf83f6a2,3,-4
"(Reposted from friend) Has your facebook been slow recently? Some one else found this & have found it on mine, not sure where it's from ---- To check your application settiings, go to Settings, select /application settings/""",2,2,,,yes,1,a060ba39cf74d8b9f97354e3f83df67a,2,-1
"*...you know, you can't go on * thinking * nothing's wrong * who's gonna drive you home * tonight..?*",2,2,,,yes,1,cf5a3f66c42918587a1428a6f7d7eec9,1,-2
"***warning*** the national weather service has issued falling bird warning for chicago this sunday from until the end of the th qtr. Falling seahawks could be heavy at times especially around the soilder field area. Heavy accumulation likely!! **repost this all over bears nation, we are everywhere!!!**",1,2,3,,yes,1,29cda473b52e1c75fbfe958ed3aec565,2,-1
*almost asleep* *phone vibrates* ARE YOU FREAKING KIDDING ME RIGHT NOW!? MEAN SERIOUS--Oh. It's you. ?,2,2,,,yes,1,6262f9ea246e00408561aa9a73c49175,1,-3
"*FACEDESKFACEDESKFACEDESK* Jenn Eunjung Choi AND Joy Seohyun Jeon, YOU GUYS HAVE DIRTY MINDS. GO SEX TALK ON EACH OTHERS' WALLS.",2,2,,,yes,1,2a9b90b41e9399bb331fef2582f657c3,1,-2
*NOAA Issue Date: // // : AM ...Winter Storm Watch upgraded to Winter Storm Warning...in effect from Pm this afternoon to Pm Pdt Monday above feet for the south Washington and north and central Oregon Cascades... Helllll ya!,2,2,,,no,NA,2af06a0d2c453ef4340280ae57348351,1,-4
*playing cards* lavi: dang it allen how do you always win! *kanda hits allen on top of his head* allen : what was that for!? me: you cheated,2,2,,,no,NA,NA,3,-3
"*Reality strikes again. Helpless, you watch as it crushes your dreams and aspirations, pummeling them into the asphalt with thundering strokes. Black hands of depression snake around your throat and sinister smirk longs to plant the kiss of death on your-* What? Oh, yeah. My guests left and have to go back to work now.",1,2,3,,yes,1,82e932005d8c94bb93bcb54fa19f421c,3,-4
"/.../"" /""your face!!/"" *WHACK* /""OW!...my face.../"" hahhaa me nd talen!!! ps it was me who was whacked...""",2,2,,,no,NA,e3dcf659fccb761dea63a62609a9bbd9,3,-3
// Because have shared with enough people now that might as well just go all the way. It feels good.,2,2,,,yes,1,NA,3,-1
/All living beings place their faith in someone more powerful than them and they can't survive unless they blindly follow him. The recipient seeks someone in an even higher position to escape the pressure. They then seek someone even more powerful to put his faith in. In this way,2,2,,,no,NA,61e7f6145fd03d709cabbde3faf33412,2,-2
"/And that guy's obviously fantasising about his boyfriend. can tell from that little smile he's doing./"" /""That's not telepathy",2,2,,,yes,1,eaeabcfe25866f0455d349bae2450d88,3,-1
"/Basically am one of those people who cannot bear to be anywhere and are happy only between places./"" - Thomas Bernhard",1,1,2,discounting positive,no,NA,0e3fdb89c7706b13891170ab2a9017c7,2,-1
"/Blackbird singing in the dead of night take these broken wings and learn to fly. all your life you were only waiting for this moment to arise./""""",2,2,,,yes,1,97f81977a2a65e27bfc41ff2e3f6591e,1,-3
"/hahah! Gaucamole sounds like fancy way of saying mole. So when you say my gaucamole fell off my chip.../"" dinnertime is so amazing(:""",2,2,,,yes,1,6262f9ea246e00408561aa9a73c49175,3,-1
"/I am the one. am the one who will straighten all that is wrong. am the one you will all hear about someday. ...Someday.../"" -E.A.W. inspired by Dragon Age Origins OST""",2,2,,,no,NA,0724fe854bd455061ba84efecdeff469,3,-2
"/Kill everyone! Condone first degree murder! Advocate cannibalism! Eat shit! Filth are my politics! Filth is my life! Take whatever you like!/"" - Divine < """,1,1,5,negative filter,yes,1,ab46b30d5f936aa0c0749b9fc45db42f,3,-5
"/Making the decision to have child is momentous. It is to decide forever to have your heart go walking around outside your body./"" ~Elizabeth Stone""",2,2,,,yes,1,29cda473b52e1c75fbfe958ed3aec565,3,-1
"/Matthew's gonna be our next black president./"" - Victor Samuel P??rez If was president: . Marijuana & prostitution was legalized. . Immigration laws would be destroyed. . George Bush would hate me forever.""",1,2,2,,yes,2,1789589a6d2bba0f09d768f8f3445be5,1,-3
"/Mitsubishis and all those other cars that all you racers have nowadays are just toys. Go get yourselves real cars you jackoffs!/"" -my biology professor""",1,2,2,,yes,1,61e7f6145fd03d709cabbde3faf33412,2,-1
"/Sin is occasioned precisely by the fact that man refuses to admit his 'creatureliness' and to acknowledge himself as merely member of total unity of life. He pretends to be more than he is./"" - Reinhold Niebuhr""",2,2,,,yes,1,8da2d8c46591e28d575d5cc983ada549,1,-2
"/So come on and shine with me Like the beautiful star you are And leave it behind with me Cause forever is not that far.../"" < < < < Diana Campero Vigueras < < < < """,2,2,,,yes,1,1729ac1c5673a08e2d6b6326f5ad5537,3,-1
"/The world is governed by very different personages from what is imagined by those who are not behind the scenes./"" - Benjamin Disraeli",2,2,,,yes,1,8a1c6e4eb35abbf1ae252628fca46cdb,1,-1
"/There is an evil tendency underlying all our technology - the tendency to do what is reasonable even when it isn't any good./"" -- Robert Pirsig""",1,2,2,,yes,1,938a5bb332c15ab321ce4c567d31d6a4,3,-3
"/What do you want from humanity? Are we hollowed and stained? Maybe we're all just useless or maybe we're all INSANE.../""""",1,1,2,all-or-nothing,yes,2,ab46b30d5f936aa0c0749b9fc45db42f,1,-2
"# , , , , , , , , You thought you were oh so clever with your number! Well, copy and pasted so THERE. BTW, how big is your ladle? ;) Anywho, can you believe thought you were the quiet one in your family??! Just goes to show first impressions mean nothing :) loves you likes sista and we need to plan another sleepover. With Batman, Robin, and Sam ;)",2,2,,,yes,1,6262f9ea246e00408561aa9a73c49175,3,-1
< |I'm gonna live|I'm gonna survive|Don't want the world to pass me by|I'm gonna dream|I aint gonna die|Thinking my life was just lie|I wanna be loved| <,1,2,3,,yes,1,NA,4,-3
"||Don?'t ask what the world needs. Ask what makes you come alive, and go do it. Because what the world needs is people who have come alive.|| ~Howard Thurman ????-????-???",2,2,,,no,NA,cb02460576e27f95654a9a0ef548fe5b,1,-1
"||if home's where my heart is then I'm out of place| Lord, won't You give me strength to make it through somehow| I've never been more homesick than now| help me Lord, cuz don't understand Your ways...|| <",1,2,2,,yes,1,NA,1,-3
"A message intended for those people who attended the prom (and more specifically, have seen pictures of) last night: well done all of you, have yet to see photograph of anyone looking anything but splendid! Hope you all enjoyed yourselves too. :) xx",2,2,,,no,NA,71469de066cfab67bc4463ef1a74ba25,4,-1
"A message intended for those people who attended the prom (and more specifically, have seen pictures of) last night: well done all of you, have yet to see photograph of anyone looking anything but splendid! Hope you all enjoyed yourselves too. :) xx",2,2,,,no,NA,71469de066cfab67bc4463ef1a74ba25,4,-1
a surefire way you need more drunk facebook friendds = get drunk and see that everyones status update is from - hours ago...,2,2,,,yes,1,d5e8a963a3a0a885e1050d89f6ddd476,2,-2
"A week without Facebook really isn't such bad thing. It's not so bad not having to worry about what everyone is doing all the time. Anyway, camped at Padre Island yesterday. think sand has become part of my DNA...",2,2,,,yes,1,2fba0f9dccc84f3516d8b553426af527,1,-4
"a word to the wise do NOT piss off the guy who, not only knows more about computers than you, is fixing your computer; youll get very nasty surprise",1,2,2,,yes,1,d4c98fcaa23c3da6a9cb4297e9574ae9,1,-4
About ten minutes ago when was unloading the car tried to pick up small bag of cat food with my left hand. As soon as started to lift the bag my wrist felt as if someone had just smashed it with baseball bat. haven't injured it as far as I'm aware and just put my full weight on the hand with out it hurting. Anyone know what might have happened?,1,2,3,,yes,1,088bf0ed841bcc366475b3975eb1b9d2,1,-3
"act the fool onstage with raptor mask, and wonder why you feel like people are looking at you funny in the halls afterward",2,2,,,yes,1,3cc0db55763257a91f1947ed77d8aac5,2,-2
after getting shopping and fixing draft exculders have about minutes to myslef before going to pick up the boys...,2,2,,,yes,1,2549774d68d7ccbcba069afb45c7e237,1,-1
after saying he'd never had red mold on cheese found his blue cheese had developed nice red section at the front,2,2,,,no,NA,2549774d68d7ccbcba069afb45c7e237,3,-1
Ah sense this long day ahead of me already... but got to be thankful for the good and bad. very Happy birthday to my BFFL Penny whos another year wiser today ILY,2,2,,,no,NA,009d96a823b6f6c085c092fb177491f6,3,-2
"Ah, the joy of seeing movie that nobody ACTUALLY wanted to see. Thank you Emilio, Marlee, Taylor Trujillo, and Andy O'Cana for at least making it fun anyway! <",1,2,1,,no,NA,NA,3,-1
"Ah, the joy of seeing movie that nobody ACTUALLY wanted to see. Thank you Emilio, Marlee, Taylor Trujillo, and Andy O'Cana for at least making it fun anyway! <",1,2,1,,no,NA,NA,3,-1
"ALL Government Officials, if you feel the need to stop paying our military personnel, then think you should feel the need to stop paying yourselves. I'd like to see you support your family without paycheck! By the way, maybe if you take your paycheck down to less than $ it would help some of the budget issues in America. I'd like to see you survive on enlisted military personnel pay! RE-POST if you AGREE!!",2,2,,,yes,1,d4c98fcaa23c3da6a9cb4297e9574ae9,3,-1
"All ready to get three hours of sleep after freakin' epic day! Then up for more epic days! Lions and tigers and bears, holy crap!",1,2,3,,yes,1,82e932005d8c94bb93bcb54fa19f421c,3,-4
"All want is somebody to tell me it's going to be okay, so basically, someone to lie to me with straight face.",1,2,4,fortune-telling,yes,1,1789589a6d2bba0f09d768f8f3445be5,1,-1
Almost went the first three weeks of school without falling asleep in class. But the minute nap in Biology was totally worth breaking that lol.,2,2,,,no,NA,090dd511c63a028cbd1ae9f297619354,2,-1
"Alright. think I've begun to remember some of my dreams recently. The problem here is that all the ones remember seem to involve me falling, being injured, or being attacked... What happened to happy dreams?",2,2,,,yes,1,d177a27cdcf11df2e6e09de9620e9c5e,2,-3
"Also... sick of friends being abused.. I'M LOSING hope just by hearing it. If ever witness another friend get hit... I'll step in the middle and take all the fucking hits. I'll protect them with my life, my heart.. what's left of the real me. Die you abusers and go rot in hell.",1,2,4,,yes,1,8c393982479748c5a53acaa7a3717c71,3,-4
"Am thinking that since don't feel like throwing three different clothing swap parties to accommodate the different styles, ages and sizes of my variety of friends, and it would be too chaotic to do one big one, that maybe I'll do an accessory swap party",2,2,,,yes,1,29cda473b52e1c75fbfe958ed3aec565,2,-2
Amazing how math tests on the weekend can almost ruin your plans... key word is almost. Wish me luck!,1,2,3,,yes,1,733924d2f62385907d4460bc626bd105,3,-2
"and in one fell swoop, screw up everything. Okay, well, maybe two fell swoops. ...either way, everything's still screwed up",2,2,,,yes,1,55a72284594fdda49b22a6610b9b91d6,1,-1
"and thanks to Snoop Dogg being in the feild house, can't get to my god damned atm. To put money in so can order my Scorpions ticket. Which wanted to do tonight. Before the REST of them get sold out. In closing, however much you thought hated rap music, increase that by about %",2,2,,,yes,1,55a72284594fdda49b22a6610b9b91d6,2,-4
"And this is why don't go to bed early. Inevitably, will wake up around and not be able to fall back asleep. Stupid circadian rhythm...why can't it just leave me alone??",1,2,3,,yes,1,82e932005d8c94bb93bcb54fa19f421c,1,-3
"And this is why don't go to bed early. Inevitably, will wake up around and not be able to fall back asleep. Stupid circadian rhythm...why can't it just leave me alone??",1,2,3,,yes,1,82e932005d8c94bb93bcb54fa19f421c,1,-3
"And tomorrow we'll go through all the motions again, and hope that someday in the far future things'll get better.",2,2,,,no,NA,ca4591994c00795feecfdf8c5d96d6c9,3,-1
"And when some local kid gets down They try an' drum him outta town They say, /Ya coulda least faked it",2,2,,,yes,1,0c5d06511ef79fba34da417e8c751fff,1,-2
Annoyed with some people? yes. Think people need to stop being so defensive about everything? yes. Need to go kill Mario for while before bed? HELL YES. :D,1,2,2,,yes,1,57118d9a71e91b6568471ffbd7077415,2,-3
Anybody who understands CampusFrance (or who knows what my goals are) should probably finish this thing for me. ugh.,1,2,1,,no,NA,7319abebc084bd708234de226b11706a,1,-3
Anyone from my English class got Janice's email address? :\ need to send her my presentation but can't find her email..,2,2,,,yes,1,eaeabcfe25866f0455d349bae2450d88,1,-2
"Anyone know the password and username to the Borah databases, i have an AP project in dire need of completion",2,2,,,yes,1,748b929276449add1cb3bb5985e85fa1,1,-2
Anyone know who teaches Digital Electronics? And anyone know if it's good course // if it's even taught?,2,2,,,no,NA,d177a27cdcf11df2e6e09de9620e9c5e,3,-1
"Apparently if you're gamer and you play games for atleast + hours week, you have problem and need to seek professional help... Silly News programs hahahah",2,2,,,yes,1,216924ec52555944d3d64c52390b359f,2,-2
Apparently it takes certain amount of skill to sleep naked. You can even take classes to learn how to sleep naked. That must mean some of us are natural pros,2,2,,,yes,1,61e7f6145fd03d709cabbde3faf33412,1,-1
"Apparently, we have the same problem with gardening that we have with cats... We're starting more seeds!",1,2,1,,yes,1,0e3fdb89c7706b13891170ab2a9017c7,2,-2
"Are love and competition compatible? They are not and could never be, because the root of competition is in fear and where is love, fear is not. So capitalism itself is based on fear.",2,2,,,no,NA,67f1bddbdb60c7f4a82c9ae9e88d4e28,3,-4
"Are you sniffling and sneezing during the winter and you don't know why? It could be that you have an allergy to certain molds. Once in while mold problem in the home, which can be controlled, is the cause of allergies ?-kind of like dust.",2,2,,,yes,1,b15cf300b5693210682e36cfe5f9789b,2,-2
"Arg, Why cant i ever truly relax. i feel like the newer Toyotas with the gas peddle stuck, but this time it's pressed all the way to the floor and no way to fix it.",1,1,3,emotional reasoning,yes,1,d4c98fcaa23c3da6a9cb4297e9574ae9,3,-1
Argh! have two assignments and i'm busy every single day from here to the end of the holidays because of tap and people still want me to do things with them. It is madness tell you!,1,2,3,,yes,1,968157017daec34ee86050fe9bd72293,1,-3
Argh! have two assignments and i'm busy every single day from here to the end of the holidays because of tap and people still want me to do things with them. It is madness tell you!,1,2,3,,yes,1,968157017daec34ee86050fe9bd72293,1,-3
arrange marriage means ppl walking and unfortunately snake bites... and love marriage means ppl go to the snake say... KAAT LE KAAT LE....!,1,1,2,negative filter,no,NA,NA,3,-2
"As we travel down this road called life all we can really hope for is that we made an impression on the right people at the right time, and ultimately we hope to impress someone enough that they travel with us.",2,2,,,no,NA,5cc136477bfe3fcfe809dc451e4243ef,4,-1
"asks his Facebook Friends, /what one thing would you do if you knew you wouldn't get caught/"" Make them interesting people!""",2,2,,,yes,1,3ab0bae1cbfdb0c3493e3993461e16d8,3,-1
"At the age of : Mom knows everything. At Mom knows lot. At : Mom doesn?'t really know everything. At : Mom doesn?'t know anything. At : Mom doesn?'t exist. At She?'s old fashioned. At : Maybe Mom does know about this! At : Before we decide, let?'s ask Mom. At : wonder what Mom thinks about this? At :...... wish could ask my Mom about this",2,2,,,yes,1,504862f12f8c000ae4358a10d657e8f5,2,-1
"At the point of going to bed last night realised my arms felt odd, faced with waiting and seeing what happened or taking meds - decided on medication route hour later intense pain, badly fitting alien arm syndrome. mg Ibuprofen mg diazapm, mg tramadol = hour sleep and the rest of the night in too much pain to sleep... luckily I'd had hours sleeping in my new chair after college.",1,2,3,,yes,1,2549774d68d7ccbcba069afb45c7e237,3,-4
at the point where life is not only living hell but heaven too. the desision is no longer about choosing which way to go to but how to avoid them both.,1,2,2,,yes,1,d4c98fcaa23c3da6a9cb4297e9574ae9,2,-2
"At times, life is wicked and just can't see the light... silver lining sometimes isn't enough to make some wrongs seem right.",1,1,3,negative filter,yes,1,fbd681e79ebca2cd9509218403f23ec6,3,-2
Attention attention we have been invaded by aliens - the Grocs have officially landed - may God save our souls,2,2,,,yes,1,7e450a79b8bacd420727a5dd9305f8d8,2,-2
"ATTENTION!!! bet all of you, that cannot get comments on this status!!! But if do, then I'll do whatever the one in comment number says!",2,2,,,no,NA,184dd29150c526cc5762a7289113ce56,2,-1
"Augh, I've already been up for more than an hour and half... and I'm STILL tired. Funny how that only happens on school days, hm? >>;",1,2,2,,yes,1,2fba0f9dccc84f3516d8b553426af527,2,-2
"Auuuugh! Illustrating is much harder job than thought it'd be. love it with the full capacity of my heart, but it's really stressful trying to juggle that and school. (-sob-) wish could draw fatser and wasn't such perfectionist. ...but my best friend is counting on me and want to do good job for him! will persevere! ;______;",1,2,3,,yes,1,2fba0f9dccc84f3516d8b553426af527,4,-4
Back in college station again. //cry ASAP i'll leave again. Let things now pass quickly so that things later may last longer.,1,2,3,,yes,1,ee3c3dd296d5870bb0559c70d4096402,1,-4
"Back-In- ' the John Belushi, did the Chris Foley, in did the Cloverfield Monster, said /Fuck that shit!/"" and went back to the Belushi!""",2,2,,,yes,1,b5efdb17945bc5ac2504e6c0c70f41b1,2,-4
bad night last night and tonight is not looking much better why am i like clock turned so tight my mechanisms are all screwed up and out of wack,1,2,3,,yes,1,08074f06d6882e73b4db242b38be237a,2,-2
"Beat Dead Space again. Now have to beat it on Hard Core for the last Achievement. saves, no checkpoints, no New Game+...yeah, it's gonna be hard.",2,2,,,yes,1,c09f6695e155f4eda37e853b52e34de7,2,-1
"Because he's the hero Gotham deserves, but not the one it needs right now. So we'll hunt him, because he can take it. Because he's not the hero. He's silent guardian, watchful protector. The Dark Knight.(not sure why find this funny)",2,2,,,yes,1,60bb7f8e09c6afac6ddf111bd09c785b,3,-1
"Been awake since am from migrane. Worked for hours. Now I'm home and I'm staying in my room to get some rest. hate drama queens. I'm so over it. love you Brandon Gilmore! You are the absolute love of my life! Katie and Madeline, you are both wonderful <",1,2,2,,yes,1,NA,4,-4
"Been awake since am from migrane. Worked for hours. Now I'm home and I'm staying in my room to get some rest. hate drama queens. I'm so over it. love you Brandon Gilmore! You are the absolute love of my life! Katie and Madeline, you are both wonderful <",1,2,2,,yes,2,NA,4,-4
Before fell asleep i was looking up stuff on my pod that made me laugh fell asleep laughing later on last night was laughing in my sleep and it woke me up . had no idea what was going on in my subconscious ... XD,2,2,,,no,NA,a8b2c778af65ca2c46306554f338cacb,2,-1
BEING DRIVEN MAD BY THE SMELL OF CHILI!!!!!!!!!!!!!!!!!!!!!! AHHHHHHHHHHHHHHHHH!!!!!!!!!!! (WELL...MADDER)!,2,2,,,yes,1,a7a3af125074cb806a200f51ea7e10bf,3,-4
"Best news for me: Mayhem Fest in Atlanta Georgia is on August . I'll be back from California by then, still get to go. Yesh!",2,2,,,no,NA,98bcd7e7d81d569867b11f4c99f61d78,2,-1
"Best news for me: Mayhem Fest in Atlanta Georgia is on August . I'll be back from California by then, still get to go. Yesh!",2,2,,,no,NA,98bcd7e7d81d569867b11f4c99f61d78,2,-1
Beth-Elohim SDA Annuel Summer Trip this year at Six Flags Hurricane Harbor in New Jersey on Sunday July th. Price $ . Please contact me if your interested,2,2,,,no,NA,ccd134a9a901e5562f3dff0f69305eba,3,-1
"Big-Boy aka Sebastian, was just put down. (He is with all his siblings now) My hope of him just having an absest all this time was wrong; it was really bad jaw cancer. He is going to be cremated on Thursday. really wish i could just see every one and get hug. miss you all. <",1,2,4,,yes,1,NA,3,-4
Birdhouse = Solidworks In PROGRESS! % Rendered Finished watching the last half of Shutter Island. Studying SAT in about minutes.,2,2,,,no,NA,d5ddeaa8a60fb820a22cf1e62d092539,4,-1
"Blah getting some sleep back after weeks of almost no sleep, Can't stop playing COD : MW . Waiting extremely impatiently for my birthday stuff to arrive...Only been days x_x Gyah. might try some of my other games online, see how good get. Working my way up on COD .",2,2,,,no,NA,8c393982479748c5a53acaa7a3717c71,3,-4
Bonnie Tyler's career would have been much more successful if her most famous song was not : seconds long and sucks...just sayin,1,2,1,,yes,1,8b6ceafaf2ea6bd34f26ff463156363c,3,-2
"Bored ._. killing is just too easy now haha. Call of duty get's boring after while. Might just burn cd's all day, any suggestions of songs?",1,2,2,,yes,1,8c393982479748c5a53acaa7a3717c71,2,-2
bored bored bored bored bored bored bored cord dord eord ford gord hoard iord jord kord lord mord nord oord pord quord rord sord tord uord vord word xord yord zord oh yeah and aord,1,2,2,,yes,1,5fcf46eb6809a240af3ab9bcb4f2b92f,1,-2
BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER BOTHER,1,2,1,,no,NA,57118d9a71e91b6568471ffbd7077415,1,-2
"brush your body against mine, let it be stained by trenchant movement, and suffice your words by staying silent.",2,2,,,no,NA,77ad12a1c7a2a2ef6c16f9b053b8b9bc,1,-2
Buddy doing better- might be able to go to my dance lesson after all!! :D *crosses fingers and toes* Also thinking might go ahead and get my hair chopped off soon! Locks of Love can just sell if it's too short anyway.,2,2,,,yes,1,NA,3,-1
But not every child has an older sibling to guide them... and those kids will grow up without ever secretly trying to focus their energy and blast beam from their palms. That's tragedy.,1,1,3,overgeneralization,yes,1,59e55a41159531614e8398aa6d79ca6a,1,-3
"But when they looked up, they saw that the stone had been rolled away....And entering the tomb, they saw young man clothed in long white robe sitting on the right side; and they were alarmed. He said to them,/Do not be alarmed. You seek Jesus of Nazareth",2,2,,,yes,1,cea00424ced413c108d878b1a14f3316,1,-3
"But you always find way to keep me right here waiting. You always find the words to say to keep me right here waiting. And if you chose to walk away, I'd still be right here waiting, Searching for the things to say to keep you right here waiting...",1,2,3,mind-reading,no,NA,3ac58ad39d81acfe169aadc4815effe6,1,-1
"But you promised her, next time you'd show restraint You don't get another chance, life's no Nintendo game But you lied again, now you get to watch her leave out of the window. -Eminem",1,2,2,,yes,1,db7f1b0130b2138e13b7bbca9cc63823,2,-3
"Butterflies don't know the color of their wings, but human eyes know how beautiful it is. Likewise you don't know how good are, but others can u special.",2,2,,,yes,1,98402a19f626c91d1795df7446906795,3,-1
"by nev??il, ??e je na vut menze tolik gej?, kte??? ob?dvaj?? ?epic??ch... to tam ani nebyl ten gej sl?!vek... thumb down.",2,2,,,yes,1,3e61391d06340a430182ec676ed47eaf,2,-1
