_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,negative_yn,negative_yn:confidence,thoughtcat,thoughtcat:confidence,id,negative_yn_gold,num,num2,text,thoughtcat_gold,time
1562458597,false,finalized,4,1/27/2018 02:26:04,no,0.5234,,0,,,,,Too much heavy furniture to lift the carpet on my own. Either grab someone else or move more things into the garage.,,
1562458598,false,finalized,5,1/27/2018 10:31:29,no,0.8127,,0,,,,,"Besides education,we also learn from our mistakes.What we learn from books maybe forgotten after some time but what we learn from our mistakes,it's never forgotten.",,
1562458599,false,finalized,3,1/27/2018 17:29:34,yes,1.0,1,1.0,,,,,"Man, I am sooooo sick of Step-Family, and fake lazy drama causing dumbass people. If it isnt hard enough to make it in this town, simple minded others have to fugg it all up for the rest of us too. Man Im tired of this broken record.",,
1562458600,false,finalized,3,1/27/2018 13:34:43,no,0.669,,0,,,,,"Did you say it? /I love you... I don't ever want to live without you... You changed my life.../"" Did you say it? Make a plan... Set a goal... Work toward it... But every now and again",,
1562458601,false,finalized,6,1/27/2018 10:00:22,no,0.5094,,0,,,,,"yay!! sammie, you're out of  surgery!!! i hope you can see this before coming home. I MISS YOU AND CAN'T WAIT FOR YOU TO COME HOME. it's not the same. it really isn't. try to relax sam. read a book, watch a movie, play with your play doh...just try to rel",,
1562458602,false,finalized,3,1/28/2018 16:13:41,no,1.0,,,,,,,There is not a shred of evidence that exists in favor of the idea that life is serious business.  So...  HAVE FUN!!!  :D,,
1562458604,false,finalized,3,1/27/2018 16:14:39,mixed,0.682,1,0.3511,,,,,"finds it very amusing how a child's mind is like a sponge. They are very gullible. Sorry huns, but the fish will not crawl out of the fish tank.",,
1562458605,false,finalized,3,1/28/2018 16:13:41,yes,1.0,3,0.6858,,,,,why do I voice my opinion when it seems to never be takin into consideration & why is it that I'm still asked what my opinion is?i?i,,
1562458606,false,finalized,3,1/27/2018 15:33:41,no,1.0,,,,,,,The g last night was bloody amazing. met this amazing italian woman haha savage. gonna be there all the from now on haha,,
1562458607,false,finalized,3,1/27/2018 10:34:48,no,1.0,,,,,,,"In life sometimes we don't get what we expected we could.But it doesn't mean that we shall stop looking for them.God has laid all paths on front of us to walk on.But it's in our hands to look on them carefully before following them,in case in the dark we ",,
1562458608,false,finalized,4,1/27/2018 10:34:10,no,1.0,,,,,,,"Louie is turning 50 Ericka, Luke, Amadeus and Tatiana are throwing him a BIRTHDAY PARTY and you are invited.  When: Sunday, June 21 (yes Fathers day) Where: Pita Pockets 9127 Reseda Blvd Northridge CA 91324  (818) 709-4444  Time: 12:45 to 3:00  RSVP (I",,
1562458609,false,finalized,3,1/27/2018 13:31:45,yes,0.6581,1,0.6581,,,,,"has to go decorate a cake. Well, I don't HAVE to, but I'm going to because it's just sitting there all plain and naked like a blank canvas.",,
1562458610,false,finalized,3,1/27/2018 16:24:10,yes,1.0,1,1.0,,,,,can't find her horrid persian kitten anywhere. ,,
1562458611,false,finalized,3,1/28/2018 16:13:41,no,0.6781,,0,,,,,"R.I.P. Michael Jackson. Thriller and Beat it are the 2 best songs I have ever heard and the videos are second to none. Soulja, Beyonce, or any other pop star wouldn't be here today sans Jackson. God Bless.",,
1562458612,false,finalized,3,1/27/2018 13:33:32,mixed,0.669,1,0.669,,,,,"NOW, it is officially elizabeth mary lomtevas' 15th birthday! HAPPY BIRTHDAY <3 : ) i love you. &hope you have fun out, since you're not coming over :|",,
1562458613,false,finalized,3,1/27/2018 16:21:39,yes,1.0,1,0.6691,,,,,"Do we know how to get the message across? We turn the lights off, to find our way out. No time to get through, to grasp what was lost. Don't turn the lights off, and leave me in the dark.",,
1562458614,false,finalized,3,1/28/2018 13:28:54,yes,0.69,1,0.69,,,,,"I miss seeing you!!!  You know how Grammy always says to me, which irritates the crap out of me, /I haven't heard from you in SOOOOO long",,
1562458615,false,finalized,3,1/28/2018 13:47:48,no,1.0,,,,,,,"I know it's kinda late, but I gotz a new phone, so I needz yo numbers!  Can I have your number?  Can I have iiiittt?!?!? lol",,
1562458616,false,finalized,4,1/27/2018 02:26:04,yes,1.0,1,1.0,,,,,"its sad dat we wait 4 the monsoon for months, n wen it finally comes, v crave 4 the sun!!!......hypocrites...all of us!",,
1562458617,false,finalized,3,1/27/2018 13:30:43,mixed,0.6581,1,0.225,,,,,"i still feel like shit, but at least i had fun yesterday. i went to my boyfriend's house, then i took my sister out for the day so that we can spend some time and so that she doesnt feel so left out..went to mcdonalds and ate lunch, then we went to border",,
1562458618,false,finalized,3,1/28/2018 16:14:39,yes,0.6361,1,0.6361,,,,,"was startled to realized that, out of everyone in the room, I was the only one not wearing pants of any sort.",,
1562458620,false,finalized,3,1/28/2018 13:10:55,yes,1.0,1,0.69,,,,,"This beautiful country is full of people who enjoy fighting and tearing it down, rather than trying to find common ground and work together..a house divided cannot stand...",,
1562458621,false,finalized,3,1/27/2018 13:35:49,no,1.0,,,,,,,Final found a new torrant and got more songs I wanted dam I going to go to college and as my friend say music rehab.,,
1562458622,false,finalized,3,1/28/2018 13:28:54,mixed,0.6411,1,0.3589,,,,,My Leena has left on a trip out west with her friend and her parents. It was difficult to say goodby. I actually found myself experiencing gratitude for text mesaging. I never thought it was possible.,,
1562458623,false,finalized,3,1/27/2018 13:31:45,mixed,1.0,1,1.0,,,,,"A sticky stormy Saturday. What a shame.  No, wait.  I have to work all day;  Just like every Saturday.  But Monday's forecast looks to be pretty awesome.  Too bad you suckers will be back at work.",,
1562458624,false,finalized,3,1/28/2018 13:04:41,no,1.0,,,,,,,"fed the calf, ran with him, has a few more things to do on the list, is gonna read, relax, have fun, and then go to thespian meeting and show choir :D",,
1562458625,false,finalized,4,1/27/2018 03:31:04,no,0.7373,,0,,,,,how do u say u like someone without making things awkward for her cuz u know were pretty close friendz and uh I guess she just can't see it yet maybe,,
1562458626,false,finalized,3,1/28/2018 13:24:05,no,1.0,,,,,,,"we made a bonfire pit in the backyard :) 4th of july plans: 3 different families will be over, eating, &...eating. then fireworks with them and friends<3",,
1562458627,false,finalized,3,1/27/2018 16:23:02,no,1.0,,,,,,,I am suppose to be weeding the other half of my garden today...but I think I will wait for it to be a bit cooler out..:),,
1562458628,false,finalized,3,1/27/2018 18:45:13,no,0.6582,,0,,,,,"There's a Munkey in a Jungle watchin a vapor trail,....... Cught up in a conflict between his brain and his tail,..............",,
1562458629,false,finalized,3,1/28/2018 16:29:06,mixed,0.6909,1,0.6909,,,,,So a peace of mind just got back from my summer college sesion which was alzome! but has lots to perpare for even summer home work. Elmira rocks!!!!!!!!,,
1562458630,false,finalized,3,1/27/2018 10:34:48,no,1.0,,,,,,,"Voel beter, maar as ek jou more sien gaan en op my gelukkigste wees. Sterk wees my skat en vasbyt. Sien jou more. Mwa ek is baie lief vir jou",,
1562458631,false,finalized,3,1/28/2018 16:15:46,yes,1.0,1,1.0,,,,,I have to share this with ya'all I just watched Jeremy weedwack the greens I planted for Marie's guinea pigs. And then step on them as he weedwacked on.,,
1562458632,false,finalized,3,1/27/2018 16:14:39,mixed,1.0,1,1.0,,,,,Finished canning 15 jars of cherries and now I am making 3 cherry pies and freezing them..lots of work but satisfying....:),,
1562458633,false,finalized,3,1/27/2018 16:16:33,mixed,1.0,1,0.6691,,,,,"will be back on Friday, thanks for the good wishes and excuse me if I'm knackered and grumpy on Monday!! xx",,
1562458634,false,finalized,3,1/28/2018 12:55:42,mixed,1.0,3,0.6411,,,,,"You win some and you lose some, still its better to celebrate what you have acheived rather than dwell on what you havent",,
1562458635,false,finalized,3,1/28/2018 13:09:04,no,1.0,,,,,,,"BUGSY MALONE: For all those involved in the school production of Bugsy Malone, be sure to check out www.bcbugsy.co.nr for the rehearsal schedule, cast list, updates and stuff like that ;)",,
1562458637,false,finalized,4,1/27/2018 03:31:04,yes,0.7524,1,0.7524,,,,,"Well Guys and Gals, Apparently I have offended some of you guys and I had to find out through backside channels. If this is the case, shoot me a message and I will be happy to remove you from my FaceBook page. I joke around with people alot, and I say whe",,
1562458638,false,finalized,3,1/28/2018 16:25:53,no,1.0,,,,,,,"se prepara para migrar a lugares mas calidos para escapar de la parano-- digo, gripe A (mientras no me la agarre en Ezeiza... XD)",,
1562458639,false,finalized,3,1/29/2018 18:13:01,no,1.0,,,,,,,"This is my lucky sport year. First it was Barca then it was Barca, later it was Barca and now it's the Lakers.",,
1562458640,false,finalized,3,1/27/2018 13:33:32,yes,1.0,1,1.0,,,,,Sady I cleaned the living room final to get ride of my ocd of it being messy to much animal hair.,,
1562458641,false,finalized,3,1/28/2018 12:49:27,yes,1.0,1,1.0,,,,,"I finally got one Gaby, problem is that I can't find my usb which has all my pics and i let David borrow my camera. Behold me WORLDS GREATEST LOSER",,
1562458642,false,finalized,3,1/28/2018 16:29:06,mixed,0.6834,1,0.6834,,,,,"sam, i hope you have an okay time down in city of hope. take a book and try to relax. i'll miss you till you're home.",,
1562458643,false,finalized,3,1/28/2018 12:55:42,mixed,1.0,1,0.6689,,,,,had an amazing weekend but is now bored with the weekdays again. hes also getting ready to look spiffy this weekend lol :-),,
1562458644,false,finalized,4,1/27/2018 02:26:04,no,1.0,,,,,,,I cant wait till tomoz. Afternoon with friends will be amazing and the evening with family and friends . It will indeed be nice yeyyyyyyyyyyy,,
1562458645,false,finalized,3,1/27/2018 16:24:10,no,1.0,,,,,,,Just watched an awesome movie called 'Infamous'. It was so very good! One of those one of a kind movies. Go get it !,,
1562458646,false,finalized,3,1/28/2018 14:18:36,no,1.0,,,,,,,"/In awe I watched the waxing moon ride across the zenith of the heavens like an ambered chariot towards the ebony void of infinite space wherein the tethered belts of Jupiter and Mars hang forever festooned in their orbital majesty. And as I looked at all""",,
1562458647,false,finalized,3,1/28/2018 16:15:46,no,0.3639,,0,,,,,omg!! Michael Jackson!!! RIP! have fun moonwalking across the sky!! Farrah Fawcett!! RIP! a charlies angel up in heaven now! xxxxxxx,,
1562458649,false,finalized,3,1/28/2018 16:13:41,yes,0.3639,1,0.3639,,,,,"is it just me, or is that new no alchohol beer they're advertising THE worst idea EVER?? hitting edinburgh 2morrow, yayyy",,
1562458651,false,finalized,4,1/27/2018 03:30:14,no,1.0,,,,,,,"omgomgomg, ,, it's friday :D i need to wash my blankets. lol. just waiting for ella to come over in like 5, so we can party 2-4-7. thenn, going to hangout with others we shan't mention at northeast. :)",,
1562458652,false,finalized,3,1/28/2018 13:15:22,no,1.0,,,,,,,Today's Joke: Never before one woman admits she did what she did because she's done what needs be done without being done. Confused? WAKAKAKAKAKAKAKAKAKAKAKAKAKAKA!!!!!,,
1562458653,false,finalized,3,1/27/2018 13:30:43,yes,1.0,1,1.0,,,,,is wondering whether going to the Lakes with a load of year 6s is such a good idea after all!?! (Seeing as I get worn out climbing the stairs...),,
1562458654,false,finalized,6,1/27/2018 10:00:22,yes,0.6943,1,0.6943,,,,,had an interesting experience watching his mom mutter things under her breath while beating the dvr and later the dvd player and vcr.,,
1562458656,false,finalized,3,1/27/2018 16:13:10,no,1.0,,,,,,,A true artist doesn't think of what he has to paint.He just holds the brush in his hand and throughs his creativity on the paper of what comes first in his mind.,,
1562458657,false,finalized,3,1/27/2018 13:33:32,mixed,0.669,1,0.331,,,,,stupid harry potter movie kept me up till 1:30 in the morning and did not help the fact i had to wake up at 6:30am.....  but it was good so i guess it was worth it. :),,
1562458658,false,finalized,3,1/28/2018 13:15:22,no,1.0,,,,,,,"/I've been looking forward to today for a week./"" He said with a smile. /""Or I might have to wait for tomorrow./"" Said the voice. /""Tonight would be good./"" He said aloud to himself. /""Yes. Good indeed./"" The voice said. /""If only...../""""",,
1562458659,false,finalized,6,1/27/2018 10:00:22,no,0.6673,,0,,,,,leaving 4 vacation. Will try to update in Slovakia but consider me gone 4 the next 2 months. This is Michal Kononenko signing off. I love u guys.,,
1562458660,false,finalized,3,1/28/2018 13:09:04,yes,0.3589,1,0.3589,,,,,"Had an interesting morning listening to his mom screech at the computer not working, screech at the clothesline, and screech at and beat the washing machine. The number of problems on the computer were caused by the caps lock button being stuck and not IE",,
1562458661,false,finalized,3,1/28/2018 16:24:47,no,1.0,,,,,,,"Just watched /Singin' in the Rain/"" . . .   Gene Kelly makes his dancing look effortless and like a lot of fun.   What a talent.""",,
1562458662,false,finalized,6,1/27/2018 10:00:22,no,0.5166,,0,,,,,"Doing summer homework and watch the 10th kingdom, only one week till my partents are gone for four day ya time to myself it's been too long.",,
1562458663,false,finalized,3,1/27/2018 12:22:37,no,1.0,,,,,,,"You're alive. Do something. The directive in life, the moral imperative was so uncomplicated. It could be expressed in single words, not complete sentences. It sounded like this: Look. Listen. Choose. Act.",,
1562458664,false,finalized,3,1/28/2018 13:04:41,no,1.0,,,,,,,"pretty happy after a good weekend, and after getting to go to a party and see some really close PCC friends once more",,
1562458665,false,finalized,3,1/28/2018 16:29:06,yes,1.0,1,1.0,,,,,really hates being an adult. I miss being a kid with no bullshit around like nowadays. Yeah I know that's how it goes but geeez!,,
1562458666,false,finalized,3,1/28/2018 16:15:46,yes,0.6858,1,0.6858,,,,,sitting in the jury courtoom waiting to be be called for duty.... restrooms need some updating.... can we divert funds that we are not paying the state senators to make them prettier?,,
1562458667,false,finalized,3,1/27/2018 13:34:43,no,1.0,,,,,,,"is off to the guillotine. You can try texting me if you want to visit, otherwise call my mama (269-1601). Wish me luck!",,
1562458668,false,finalized,3,1/28/2018 16:14:39,mixed,0.6781,1,0.3219,,,,,"Family is still kicking! Barely making it but 'm happy to have been able to see them! It sucks that all my memories of my family will be overruled by them getting old and sick and dying, the good memories seem to be harder and harder to find...",,
1562458669,false,finalized,3,1/28/2018 16:25:53,yes,1.0,1,1.0,,,,,Any GOS student who comes to me complaining about how 'early' the next school year starts are gonna get a 'nice little lecture' from me...¤_¤,,
1562458670,false,finalized,3,1/27/2018 16:23:02,mixed,0.3511,1,0.3309,,,,,Just got back from church...it was weird not having the older two children with us today..I miss them and can't wait to seem them in another two weeks...:),,
1562458671,false,finalized,4,1/27/2018 10:32:13,yes,1.0,1,1.0,,,,,Chris is gone for the week and i already miss him! I got to see him for a half hour last night because he would be leaving early todayand I wouldn't get to see him for two weeks if Michael(Michelle) wouldn't let me go over last night.,,
1562458672,false,finalized,3,1/28/2018 12:55:42,no,1.0,,,,,,,"ATTENTION GOLFERS   1. Keep Your Back Straight, Knees Bent & Feet Shoulder-Width Apart.   2. Form a Loose Grip.   3. Keep Your Head Down.   4. Avoid a Quick Backswing.   5. Stay Out of the Water.   6. Try Not to Hit Anyone.   7. If You are Taking Too Long",,
1562458673,false,finalized,3,1/28/2018 13:42:25,no,1.0,,,,,,,hopes to be involved in the uni's new newspaper - it's satirical and way cooler than the other one with its 'student news',,
1562458674,false,finalized,3,1/27/2018 15:32:47,yes,1.0,1,1.0,,,,,Got a painful reminder of why I REALLY dislike my little sister...and why I have to keep my room locked at all times...,,
1562458675,false,finalized,3,1/28/2018 16:24:47,mixed,0.6909,3,0.2136,,,,,I believe I will soon regret this Facebook. I have a list of things to do. On the other hand Jeremy does have fantasy football and baseball.,,
1562458676,false,finalized,3,1/27/2018 13:32:37,yes,0.6729,3,0.3419,,,,,"Anxiety about the future never profits; we feel no evil until it comes, and when we feel it, no counsel helps; wisdom is either too early or too late.",,
1562458677,false,finalized,3,1/28/2018 13:10:55,no,1.0,,,,,,,Alicia's coming over tommorrow and then we go see harry potter and maybe watch john williams tribute for the millionth time!!!!!!!!!! :),,
1562458678,false,finalized,4,1/27/2018 03:31:04,no,1.0,,,,,,,"Imagination is the beginning of creation. You imagine what you desire, you will what you imagine and at last you create what you will.",,
1562458679,false,finalized,4,1/27/2018 02:40:43,no,1.0,,,,,,,"Looking to get rid of: Diamond Flush Collection: 8's (x4), 9's (x2), 10's (x4), Jacks (x4), Queens (x5), Kings (x3), Ace (x2) Heart Flush Collection: 9, 10, Jack, Queen, King, Ace",,
1562458680,false,finalized,3,1/27/2018 17:29:34,no,1.0,,,,,,,Had a great day today in Africa!!! saw the wealth and the poverty. Met Afrikaans and met Africans. Ha look it up if you don't know...,,
1562458681,false,finalized,4,1/27/2018 02:26:04,no,1.0,,,,,,,"about to be off work, run some errands, jump on Resident Evil 5 and then probably at Christines for the afternoon evening. You got my number, Txt peeps!",,
1562458682,false,finalized,3,1/28/2018 13:10:55,yes,1.0,3,0.6689,,,,,Is DEAD tiered but not tiered at the same time and it sucks cuz it's almost 3 in the morning.  :(,,
1562458683,false,finalized,3,1/27/2018 15:32:47,yes,1.0,1,0.6591,,,,,"Why is it that the more you try and make some time for yourself, the more things pop up that just have to be done? Guess the old sayin is true, / I'll get plenty of rest when Im DEAD/"" ",,
1562458684,false,finalized,4,1/27/2018 02:40:43,no,0.765,,0,,,,,In the midst of great joy do not promise to give a man anything,,
1562458686,false,finalized,3,1/28/2018 13:28:54,yes,1.0,1,1.0,,,,,"finaly accepts that Faculty of Social Sciences, Faculty of Social Work and others similars are not realy faculties, but schools for fast reading at most :(",,
1562458687,false,finalized,3,1/28/2018 12:49:27,no,0.69,,0,,,,,"Wahahahaha, this app on facebook just gave me my horoscope and it is *literally* 180 degrees out! Like the things it said I had been going throught this year are the exact opposite of what really happened, and what it predicts will happen this coming mont",,
1562458688,false,finalized,3,1/27/2018 15:34:34,no,0.6685,,0,,,,,"Today is my 11th Anniversary.....we were telling our son, Delton, that he gets to go out with us on our anniversary and he asked /what's that?/"" and we said /""we have been married for 11 years/""...he says /""does that mean today your not married anymore?/""..Kid""",,
1562458689,false,finalized,3,1/28/2018 13:15:22,no,0.6411,,0,,,,,realizes his birthday is fast approaching. those of u who want to wish well its on the 9th of august. otherwise i got football practice so i dont really care. in fact ill probly be asleep lol,,
1562458690,false,finalized,3,1/27/2018 16:20:14,yes,1.0,3,1.0,,,,,I remember everything...everything I loved...I gave it away like it wasn't enough...all the words I said...and all you forgive...how could I...hurt you again...what if I let you win...what if I make it right...what if I it give up...what if I want to try.,,
1562458691,false,finalized,3,1/28/2018 13:24:05,yes,0.69,1,0.3589,,,,,"is in the city hanging out in a sweet lounge watching people pass below, fighting the temptation to become one of the crowd.",,
1562458692,false,finalized,3,1/27/2018 16:20:14,mixed,0.6489,1,0.2278,,,,,"im just a dreaaamer, i dream my life away. it's stuuck in my head! i <3 ozzy osborne :) more than any other celebrity. damn, we need to leave already :|",,
1562458693,false,finalized,3,1/27/2018 16:13:10,yes,0.3511,1,0.3511,,,,,"There's always room for improvement.  If you think you're doing well, look again, you may have missed something. Perfection is a bold-faced lie. :)",,
1562458694,false,finalized,3,1/27/2018 13:35:49,yes,0.669,1,0.4502,,,,,"Hey, nothing you can say , nothing's gonna change what you've done to me  Now it's time to shine , you're gonna burn in my light  Hey, nothing you can say, nothing's gonna change what you've done to me  Now it's time to shine, I'm gonna take what's mine  ",,
1562458695,false,finalized,3,1/27/2018 12:22:37,yes,1.0,1,1.0,,,,,Is finally done with The adventures of Tom- and the paper start the Spirt on and it suck I hate this on i wish i started with it man i mad now it so bording tom story was better than this wa. but only got 15 chapters to go and two page paper then done wa ,,
1562458696,false,finalized,3,1/28/2018 13:28:54,no,0.69,,0,,,,,"And when was the last time that YOU got a 50% per year pay increase? How much money are the state senate aides making//saving for the state...?  In all the years I have worked, making upwards of million dollars of year for a client, the best pay increase I",,
1562458697,false,finalized,3,1/28/2018 16:24:47,mixed,0.3742,3,0.3166,,,,,finds it funny how people change over a long or short period of time...but they're still judged on what they did or didn't do and who they were or were not in the past....,,
1562458698,false,finalized,3,1/27/2018 13:35:49,no,0.6729,,0,,,,,"i have one more thing to check when i get on the computer now. email, and facebook. yay! (not). who said that??*looks areound nervously* who's there?*sneak attack from erin and sabrina* AAAAHHHH!!! hello!!",,
1562458699,false,finalized,3,1/28/2018 16:17:39,no,1.0,,,,,,,"Things are looking up! :D Went to the Job Centre for Job Seekers Allowance and they suggested I apply for a position in the Job Centre itself. :P Good money, that is. They're paid a lot!",,
1562458700,false,finalized,3,1/29/2018 18:13:01,no,0.6268,,0,,,,,"is at the national worship leader conference, finishing up lunch time, and is completely overwhelmed (in a good way) and cant wait for her next class. BTW: I killed my phone in the pool and I have a new number not the /558/"" one. Can't wait for the concert""",,
1562458701,false,finalized,3,1/28/2018 12:49:27,no,1.0,,,,,,,"wonders (1) who is this Lady Gaga, (2) why is she bluffin' with her muffin, and (3) why does she want people to p-p-p-poke her face?",,
1562458702,false,finalized,3,1/27/2018 16:14:39,yes,1.0,3,1.0,,,,,"sometimes I cannot take this place, sometimes its my life I cant taste,sometimes I cannot feel my face,.... Youll never see me fall from Grace,.........",,
1562458703,false,finalized,3,1/27/2018 13:33:32,no,0.669,,0,,,,,"I finish teaching summer school on the 13th of August and have an open ticket on United to anywhere in the U.S., and I can't figure where I want to go. I need to recharge, and don't want to be around a lot of people. Does anyone have any suggestions?",,
1562458704,false,finalized,3,1/27/2018 10:34:48,no,0.6845,,0,,,,,"Do you want me to tell you something really subversive? Love is everything it's cracked up to be. That's why people are so cynical about it. . . . It really is worth fighting for, being brave for, risking everything for. And the trouble is, if you don't r",,
1562458705,false,finalized,3,1/27/2018 18:45:13,mixed,1.0,1,1.0,,,,,"did lots of stuff today. got to meet cassie's boyfriend, got to see candi and her kid kaden, celebrated candi's and my dad's birthday, screwed around with my brother, and got annoyed by my sister. Still feels like im missing something... but that was my d",,
1562458706,false,finalized,3,1/27/2018 10:34:48,no,1.0,,,,,,,gonna be in the city about a week to work at New Life Church in Elmhurst for the little kiddies!  :)  yay!,,
1562458708,false,finalized,3,1/27/2018 15:32:47,mixed,0.3409,1,0.3315,,,,,Michael Jackson Is DEAD!!!!!!!!!!!!!! He had a heart attack!!!!!!!!!! This might be mean but.....yea!!!!!! little boys of the world are safe again!!!!!!,,
1562458710,false,finalized,3,1/27/2018 16:20:14,yes,0.6489,1,0.6489,,,,,thought he was good at math.  It did make sense 2 jobs + 6 weeks = $  but ... just like tha math regents seems They have other plans . They are really starting to tick me off. (Wish i knew who They were),,
1562458711,false,finalized,3,1/27/2018 17:29:34,yes,1.0,1,1.0,,,,,"Out buying stuff...damn, you never really realize how much stuff you need and how much it costs until Mom isn't buying it anymore!",,
1562458712,false,finalized,3,1/28/2018 13:10:55,no,0.6411,,0,,,,,"found out about a running program at Lakeside Village, approved for action hours. Now need more people to get a teen class going. Message me if you're interested.",,
1562458713,false,finalized,3,1/28/2018 16:17:39,yes,1.0,1,1.0,,,,,"i hate all of the ppl, who cant drive their cars. b@#$! u better get out of the way before i start falling apart. I hate how my wife is always on my a@#. she always wants to buy plenty of things but i dont have the cash. i hate my job all my rich friends.",,
1562458714,false,finalized,3,1/28/2018 13:42:25,no,0.69,,0,,,,,me myself and i is all got in the end thats what i found out aint there aint no need to cry i took a vow that from now on imma be my own best friend... i totally agree with beyonce :) Loll,,
1562458715,false,finalized,3,1/27/2018 15:34:34,yes,1.0,1,1.0,,,,,I finally fell asleep at 4am. Got woken up by everyone in my house shouting stuff about the cat. As a result I am not a happy bunny today.,,
1562458716,false,finalized,3,1/28/2018 13:04:41,no,0.69,,0,,,,,"got to keep an eye out so my mom don't get locked out,... now tht i think about it, i'm having second thoughts, ha. i might /forgot/""",,
1562458718,false,finalized,3,1/28/2018 16:17:39,yes,0.6858,1,0.6858,,,,,"Wait now, why would I care what's on page 56 of the book nearest you?  Why would anyone care?  You know what book is nearest me? Room & Board 2009 Annual Collection.  Fascinatining isn't it?  No.  Page 56? Whoa, it's a picture of a sectional!  No words on",,
1562458719,false,finalized,4,1/27/2018 10:33:16,no,1.0,,,,,,,"If I had a dollar for every time a chick was tryna get at me....speaking of which, can I borrow some money?.......What?",,
1562458720,false,finalized,3,1/27/2018 15:34:34,no,0.6591,,0,,,,,"...today is gonna be the day that they're gonna throw it back to you, by now you should have somehow realized what you gotta do...",,
1562458721,false,finalized,3,1/27/2018 18:45:13,mixed,1.0,1,1.0,,,,,"Watched Harry Potter the Half Blood Prince...It was pretty good, too bad Delton needed a bathroom break when there was only 5 minutes left..Poor Jared missed it!...",,
1562458722,false,finalized,3,1/27/2018 13:34:43,no,0.3419,,0,,,,,"Well, it's time to get back to the real reality!  Played with all SPP friends and dumped several DB's to make room for those who DO want to play. 6530 friends, WHO EVER could play with that many!  Ya'all have a great day!!",,
1562458723,false,finalized,4,1/27/2018 03:30:14,no,1.0,,,,,,,ok this is so funny every one must readok my brother is really girly so i call him alissa sometimes i told him to play along so i  said alisa  jacob said what  like your shoes he said well thank you .............. later i said alissahe said what do u have,,
1562458724,false,finalized,3,1/27/2018 16:18:16,yes,1.0,1,1.0,,,,,is trying to complete harry potter series in record time while having to go through her clothing :(   ( getting rid of things that dont fit.) it's not working out to well.,,
1562458725,false,finalized,3,1/28/2018 13:47:48,no,0.6411,,0,,,,,realises that the procession we saw in Barcelona when we were there was a gay pride parade. man they could have been more colourful!,,
