text,userid,negative_yn_self,distortion_yn,quote,magnitude,distortion.category,negative_yn.y,Positive,Negative
"im just a dreaaamer, i dream my life away. it's stuuck in my head! i <3 ozzy osborne :) more than any other celebrity. damn, we need to leave already :|",2a1e77b348db53b838d5a7fab2548774,2,2,,NA,,yes,2,-2
in the morning and what have been up doing all night? Reading love stories <_< Wowwwww am pathetic XD,8c393982479748c5a53acaa7a3717c71,2,2,,NA,,no,3,-2
"Is excited! Off to see Cats tonight!! Break a leg cast & crew!! - Saw your excellent review in the paper too, can't wait!",d1a10a7398574a6a482f4f4c1c654f1f,2,2,,NA,,no,4,-1
"is so content with everything right now. music is so beautiful. The 90s is probably my favorite era. really wanna be back in school. what's that, I'm random? random is my chinese neighbor's middle name. except it's my middle name and I don't really have a",b98b995372448f015357638c8eb6add1,2,2,,NA,,yes,3,-1
isn't feeling really off today ='(( GIMMEHUGSPLZ! Probably seeing the dad today *sigh* but then decorating the guest room with mummyyy <,c0289bdb4cd4eda90653b2c84af61e03,2,2,,NA,,no,2,-1
jobs applied for and blood test booked guess its time for brew sum tunes and the lastest chronicle of thomas covenant,a79d99cb1fe61ceea2737bb7fa6f9c53,2,2,,NA,,no,1,-1
"Just watched /Singin' in the Rain/"" . . . Gene Kelly makes his dancing look effortless and like a lot of fun. What a talent.""",f1b9957ad9d63642c7b04fb8a30aaf9a,2,2,,NA,,no,2,-1
Just watched an awesome movie called 'Infamous'. It was so very good! One of those one of a kind movies. Go get it !,d1a10a7398574a6a482f4f4c1c654f1f,2,2,,NA,,no,5,-1
Looking for job? Here's an article about companies that are hiring: //articles//photos//top- -companies-hiring-now// //?ncid=webmaildl,f49956142aab2ad74decfd49a103c2f1,2,2,,NA,,yes,1,-1
"Looking to get rid of: Diamond Flush Collection: 8's (x4), 9's (x2), 10's (x4), Jacks (x4), Queens (x5), Kings (x3), Ace (x2) Heart Flush Collection: 9, 10, Jack, Queen, King, Ace",9851e23269d3494627589fc84cf4f7fa,2,2,,NA,,no,1,-2
"mini Triple Choc muffins baked, approximately left to go....... did go overboard by tripling the recipe? think not....... om nom nom.",5768075580faa60973ca2c926dd51546,2,2,,NA,,yes,1,-1
My thanks go to Steven for pointing out that GK- has no cooling or power supply. love your knowledge of computing. Makes me proud.,2fba0f9dccc84f3516d8b553426af527,2,2,,NA,,yes,3,-1
"okay, so today i discovered two, count 'em, TWO uber-cooleo peoples==== kevin&komi! the creepy thing, though, is that if add komi's fist initial to kevin's you get kkk.... o.",60e3e76252eeacb2304d45836a7d8de8,2,2,,NA,,yes,2,-2
"pretty happy after a good weekend, and after getting to go to a party and see some really close PCC friends once more",d3582916ef22700cebb70f5cdedc1da9,2,2,,NA,,yes,3,-1
Sam is hosting a barn raising and needs some friends to lend a hand!Sam is trying to build a bigger Chicken Coop and they still need the help of 2 more friend(s)!,37dc41c2fb88c226997850730b7fee11,2,2,,NA,,yes,3,-1
"Sammy's Party today, cleaning, possibly hanging out with Isis, Hanging out with Daisy. Hell of day!!!! :) Wish could say goodbye, but it would only hurt more. Peace. <",8c393982479748c5a53acaa7a3717c71,2,2,,NA,,yes,2,-3
"Things are looking up! :D Went to the Job Centre for Job Seekers Allowance and they suggested I apply for a position in the Job Centre itself. :P Good money, that is. They're paid a lot!",63cfe619eb1a1ffb8f40a45571d6915c,2,2,,NA,,no,2,-1
"This'll be the last post Kamek and Fawful will be posting for week. We shall be heading off in the wee hours of the morning. We've got long road ahead of us, fellas. I'm hoping we can find some Wi-Fi to tap into with my brother's iPod touch every few days or so, that way I'm not -too- out of the loop. Love you all, and I'll miss you~ <",2fba0f9dccc84f3516d8b553426af527,2,2,,NA,,yes,3,-2
"Trust in the LORD with all your heart and lean not on your own understanding; in all your ways acknowledge him, and he will direct your paths. Proverbs , -",938a5bb332c15ab321ce4c567d31d,2,2,,NA,,yes,1,-1
trust the bus i jump on tae be part route and leave me stranded at eastfield! god bless taxi drivers <3,0e8f270a9b126c3839044391deb1d4e2,2,2,,NA,,yes,3,-2
Two Great Annoucements: See DubTheorist live this friday @ Lomax Lodge for an evening of some Dub-Hybrid and on June st @ Will's Pub for FANGS OUT! Event Invites Coming Soon. www.soundcloud.com//dubtheorist-,d54fc1c6f03862c4b310f0a1e5105cef,2,2,,NA,,yes,2,-1
"Weeded half of the side of my house, only to get heat stroke! Unbelievable out there!! Finger fed my post surgical (dental) cat, Willoughbie baby food as he wouldn't eat his normal food yet. Had bad experience with bad tooth! Awwww!! It's good",9f67231b558a8e1bf07dfcc5a1aa469c,2,2,,NA,,yes,3,-3
Well it is off to Arizona. The hardest part of leaving is saying goodbye to everything and everyone that's become part of my life. To all my friends....I love you and couldn't have survived without you! <,82e932005d8c94bb93bcb54fa19f421c,2,2,,NA,,yes,4,-1
If all Black Spades are Red Diamonds and all Red Diamonds are Black Clubs and All Black spades are Red Hearts,fc8c496c43425ae6ad278eaf196a7f53,2,2,,NA,,no,1,-1
"At times, life is wicked and just can't see the light... silver lining sometimes isn't enough to make some wrongs seem right.",fbd681e79ebca2cd9509218403f23ec6,1,1,,3,negative filter,yes,3,-2
"If you just walked away, what could really say? It wouldn't matter anyway. It wouldn't change how you feel.",fbd681e79ebca2cd9509218403f23ec6,1,1,y,3,mind-reading,yes,1,-1
"How do you say, /I think that you will like it/"" or /""I think you ate it/"" or something like that in Latin? have an awful time writing emails and need some help.""",fbd681e79ebca2cd9509218403f23ec6,1,2,,2,,yes,2,-4
"You make life so sweet, yeah yeah yeah, pour little sugar on it, oh yeah, pour little sugar on it honey, pour little sugar on it baby. I'm gonna make your life so sweet, yeah yeah yeah, pour little sugar on it honey. AAAH sugar....",fbd681e79ebca2cd9509218403f23ec6,2,2,,NA,,no,2,-1
"stupid drivers complait # = if the speed limit says , then i am going to drive at - so back off my bumper! and if didn't notice the sign telling the speed limit then learn to read or get off the road!!!",f94ef75532e74a0a750e9345d02889ab,1,2,,3,,yes,2,-4
"I love you all, but no matter how good of friend you are - am still not planning farmville :) if i ever change my mind - i will tell you guys",f94ef75532e74a0a750e9345d02889ab,2,2,,NA,,yes,3,-1
Feels bit gay watching the wolves match only to be sitting here shouting at fabio aurelio for having the tag on his back showing,f8708568eff1535c85247b28dc126f9b,2,2,,NA,,yes,1,-2
"i am only doing this one because fp to you sophie davies, you have very good talent and should not waste it - i refuse to do anymore!",f8708568eff1535c85247b28dc126f9b,2,2,,NA,,no,5,-2
last night of arsenic and despite the sheer trainwreck of thursday and the lack of time to learn lines it's been fun,f8708568eff1535c85247b28dc126f9b,2,2,,NA,,no,2,-2
wishes reesy would stop naggin him to go watch his final gig with the bettis :P seeing as how i'm gaggin for bit of football,f8708568eff1535c85247b28dc126f9b,2,2,,NA,,yes,2,-2
is confused. The symbols on the board have no logical organization as far as she can tell. Perhaps she should study DiffEq *before* coming to class next time.,f65fd0385c972159743d21700c9a7887,2,2,,NA,,no,1,-1
Is it strange to feel shy around people you've known for years? I've been in my congregation since // and still get little nervous talking to the brothers after the meeting.,f49956142aab2ad74decfd49a103c2f1,1,2,,2,,no,1,-3
I feel lot better now. studied for hours this...morning?...and will apply what I've learned from it. I'll need some help but that's why most of you are Witnesses and not weasels. No (unneccesary) shrinkage! (Hebrews : ),f49956142aab2ad74decfd49a103c2f1,2,2,,NA,,yes,2,-1
"I wanna go for walks after work but lately it's been getting dark by pm. Should strive to go out for walks after work or join the nice, warm gym down the street from my house?",f49956142aab2ad74decfd49a103c2f1,2,2,,NA,,no,3,-1
"My acct wasn't hacked into or anything but...RESET your passwords on regular basis AND don't forget the new one! (like did, lol)",f49956142aab2ad74decfd49a103c2f1,2,2,,NA,,no,2,-1
OMG! am watching Extreme Makeover: This woman tries to be generous towards others that don't have much and now what she has is being taken away. Someone scammed her big time and her house is on the city's demo list. Thank goodness for Ty Pennington's crew!,f49956142aab2ad74decfd49a103c2f1,2,2,,NA,,yes,3,-1
What's the best way to describe the difference between humidity and dry heat? I've always thought of humidity like you stepping out of hot shower while dry heat would be like hot oven you just opened up. Is there better way to describe this?,f49956142aab2ad74decfd49a103c2f1,2,2,,NA,,no,2,-1
Got an early birthday present :D Finding out will not go blind in my left eye only have some other disorder that wont cause any problems :D,f358b75c71d85c91ec0452c6114e3b15,2,2,,NA,,no,2,-2
Just saw on the news that Penrith got hit the worst by the storm and we got mm of rain in minutes or so :),f358b75c71d85c91ec0452c6114e3b15,2,2,,NA,,yes,2,-3
I will not celebrate person's death. This is life. human. could never be happy that human had to die. That would be immoral. No matter who the person was.,f240c4711bb126e675c5243a218e8020,1,2,,2,,yes,2,-3
"People of McMurry, if any of you know where my bag is, it would be freakin' sweet if you told me where to find it, or at least where should go to find it.",f240c4711bb126e675c5243a218e8020,2,2,,NA,,yes,2,-2
I have Blazyn again and am so happy! : ) even though he is crawling around gettin into everything!!!!!!!!!!,f0d12f5b696d1a00e66f34da5c1685f5,2,2,,NA,,yes,3,-1
"is headin to bed, gotta be up at am to get on the plane to Colorado...soooooo excited! Can't wait to see ya cuz!! =)",f0d12f5b696d1a00e66f34da5c1685f5,2,2,,NA,,no,4,-1
Inside myself is place where live all alone and that's where you renew your springs that never dry up. Pearl Buck ( - ),efe4c8599376c68b5b74550e778a0b9b,2,2,,NA,,yes,1,-1
Back in college station again. //cry ASAP i'll leave again. Let things now pass quickly so that things later may last longer.,ee3c3dd296d5870bb0559c70d4096402,1,2,,3,,yes,1,-4
"Fencing was AWESOME. //sigh Fenced well tonight, but left with some punishment. Got hit really good twice by other peoples: battle scars to be for sure. One on the neck, the other just under my arm. OUCH! >.> Roxanne was actually there tonight, which was huge surprise and simply incredible. Big thanks for coming Roxanne. Consider it guarantee that i'll come see one of your plays sometime in June here. ;)",ee3c3dd296d5870bb0559c70d4096402,2,2,,NA,,no,4,-2
"Going back home for the holidays? Got my number or something, contact me. If number of us are around we should have an awesome grp get together thingy like we did awhile back @ Hyashi's! :D",ee3c3dd296d5870bb0559c70d4096402,2,2,,NA,,no,5,-1
Most likely will miss out on fencing practice tonight. Another working hard night because i let too much hmwk pile-up.,ee3c3dd296d5870bb0559c70d4096402,2,2,,NA,,yes,2,-2
"My schedule is just too lopsided from mon//wed to tues//thurs. Taking new language doesn't progress my required credits for my degree in any way, so I'm dropping German for this semester to be picked up again possibly in the spring (or perhaps another candidate language).",ee3c3dd296d5870bb0559c70d4096402,2,2,,NA,,yes,1,-2
"So, i needed milk. On my way home from fencing tonight i stopped by Walgreens to get gal. figured while i was in there i'd grab an A&W root beer, but it was out of stock. So i decided to get small bottle of chocolate milk, and as i'm reaching for it grandmotherly black woman comes around the corner and says /I think this[!] is what you're looking for/"" indicating half-gal of chocolate milk.""",ee3c3dd296d5870bb0559c70d4096402,2,2,,NA,,yes,2,-2
"This weekend was such needed rest. feel so much better having the first week of school over with. The semester has begun, and my pace for the semester set. Wait what?! School on Labor day? Blasphemy! Luckily i only have class on Mondays, no biggie. :P",ee3c3dd296d5870bb0559c70d4096402,2,2,,NA,,no,3,-1
"Why do the best languages to learn right now have to be mandaran and arabic...arabic would be cool i guess, but i don't wanna talk'n the chinese! O.o Still got an interest in Russian, but there may not be summer classes for it, which means i wont be done for . - years instead of the desired . //ponder",ee3c3dd296d5870bb0559c70d4096402,2,2,,NA,,yes,3,-1
"WOOT! The one final that worried me is over, and i think i did alright (English ). Also, got my research paper back and i made an A! <-this prof was CRAZY so an means more than you know! //cry",ee3c3dd296d5870bb0559c70d4096402,2,2,,NA,,no,4,-4
"Life is changing fast, some bad things have happened to make it more challenging but im glad and actually pretty damn happy",ec3dc451b8a811f05ace158a0d76e32e,2,2,,NA,,no,3,-2
needs to get on with typing up Chapter of Insomnia by the end of today.. it's kind of long chapter. :\,eaeabcfe25866f0455d349bae2450d88,1,2,,2,,no,2,-2
The awkward moment when you're getting Mullerice out of the fridge and you accidentally knock pot of sour cream which proceeds to spill all over the floor. :\,eaeabcfe25866f0455d349bae2450d88,1,2,,2,,yes,1,-2
"/And that guy's obviously fantasising about his boyfriend. can tell from that little smile he's doing./"" /""That's not telepathy",eaeabcfe25866f0455d349bae2450d88,2,2,,NA,,yes,3,-1
Anyone from my English class got Janice's email address? :\ need to send her my presentation but can't find her email..,eaeabcfe25866f0455d349bae2450d88,2,2,,NA,,yes,1,-2
"Got some really awesome presents today from Eden Brooke Hewins~ ^_^ Love you Eden! ? -hugs- Also, the CDs ordered finally arrived.. I'm hoping my neighbours like Bloodsimple and Children Of Bodom..",eaeabcfe25866f0455d349bae2450d88,2,2,,NA,,no,5,-1
"I really kind of want to write an angsty unrequited love song called /In Soviet Russia You Love Me/"". :')""",eaeabcfe25866f0455d349bae2450d88,2,2,,NA,,yes,3,-1
"is watching all the different School Days endings on YouTube, but can't find the one she wants to watch. D:",eaeabcfe25866f0455d349bae2450d88,2,2,,NA,,yes,1,-1
"I don't get many things right the first time. In fact, am told that lot. Now know all the wrong turns, the stumbles and falls brought me here",e9970fe8848e9505b52d414d81611de8,1,1,,2,overgeneralization,no,1,-2
"I ain't got no fight in me, in this whole damn world. So hold off. She should hold off. It's the one thing that I've known.",e9970fe8848e9505b52d414d81611de8,1,2,y,2,,no,1,-3
I feel like half of my soul is wandering away from me. exploring. hope it comes back soon. Idk what to do without it,e9970fe8848e9505b52d414d81611de8,1,2,,1,,yes,3,-1
I've given lot of thoughts to the nights we used to have. The days have come and gone. Or lives went by so fast.,e9970fe8848e9505b52d414d81611de8,2,2,,NA,,yes,1,-1
"Life is like box of chocolates: no matter what you do, you always magically end up picking the stupid icky coconut one first.",e6ed9de01fb655f94a17529d7d67cfeb,2,2,,NA,,yes,3,-3
"Sometimes wish it was all dream, that could wake up and just be years old again. Ahh, that would be nice indeed.",e6ed9de01fb655f94a17529d7d67cfeb,2,2,,NA,,yes,3,-1
How many mgs of melatonin does it take to make Mackenzie fall asleep? Next time I'm just going to take the whole bottle...,e56015a5c1a33cc7a99708881d2194a9,2,2,,NA,,no,1,-1
"/.../"" /""your face!!/"" *WHACK* /""OW!...my face.../"" hahhaa me nd talen!!! ps it was me who was whacked...""",e3dcf659fccb761dea63a62609a9bbd9,2,2,,NA,,no,3,-3
"I was just playin that call of duty game thing at kyles and am just amaziingg!!! kills, headshot, downs, and points am just awsome!! He said suck but we all no im amazing",e3dcf659fccb761dea63a62609a9bbd9,2,2,,NA,,yes,4,-2
"DANGER: Rags, steel wool or waste soaked with this product may spontaneously catch fire if improperly discarded. Contains oxidizing oil. PRECAUTIONS: Immediately after use place soiled material in sealed water filled metal container.",e076953cd3fcf8927b8f21574c0890f3,2,2,,NA,,yes,1,-2
"I < my big sis! :) And My big Brother! And my amazing Mom. And my Dad. :) And my best friend and bf . . . and < you too, whoever you may be.",e076953cd3fcf8927b8f21574c0890f3,2,2,,NA,,yes,3,-1
I've seen rich man beg I've seen good man sin I've seen tough man cry I've seen loser win And sad man grin heard an honest man lie,e076953cd3fcf8927b8f21574c0890f3,2,2,,NA,,yes,3,-4
"You know that you work in retail when you look down at the laundry that you have been folding, and realize that every single shirt is perfectly folded, symmetrical, and perfectly ready to go /back out on the shelf/""""",e076953cd3fcf8927b8f21574c0890f3,2,2,,NA,,yes,3,-1
"Everyday teenagers take their own lives because of bullying. So next time you want to start something, say something, post something, exclude someone or start rumor - think twice before you do because there's too many bullies getting away with picking on innocent children for silly reasons and pushing the child they bully to suicide. STOP BULLYING NOW! bet % wont post this. If you have heart, you will",dcbe08425f5edef5e5c1053f21e83640,1,2,,2,,no,2,-4
"is thinking this rain system is MALE, keep giving it directions to anywhere else and it keeps getting lost and coming back, with it's really bad pick up lines.....Go away you Drip!!!!!!!!!!!!!",dcbe08425f5edef5e5c1053f21e83640,1,2,,2,,yes,2,-3
"wonders why the sun is refusing to shine yet again :( Gray rainy weather, makes ya wanna go back to bed til it's gone Bah Humbug!!!",dcbe08425f5edef5e5c1053f21e83640,1,2,,2,,yes,1,-3
"?"" Yesterday is gone. Tomorrow has not yet come. We have only today. Let us begin. ?"" - Mother Teresa ( ?- )",dcbe08425f5edef5e5c1053f21e83640,2,2,,NA,,no,1,-1
"Friends are like rays of sunshine that brighten your heart and warm your soul, special gift of momentous rewards!",dcbe08425f5edef5e5c1053f21e83640,2,2,,NA,,no,4,-1
"had couple snow flurries, enough to get the kids excited, Lucky puppy's not sure what it is.....me, I'm just thankfull it's not stick to the ground and seems to disappear as fast as it comes :)",dcbe08425f5edef5e5c1053f21e83640,2,2,,NA,,yes,3,-1
I see SUNSHINE.......shhhhhh be very very quiet......we don't want to scare it away! It takes forever and day for it to come back :),dcbe08425f5edef5e5c1053f21e83640,2,2,,NA,,yes,2,-5
"Is entering into busy birthday time, here....Feb - Nickolas going to be . then Mar - Glendon going be , then Mar - Lucas, going be and finally Mar is mine.......I just age .....you are only as old as you feel.....and no you can feel me to see lol",dcbe08425f5edef5e5c1053f21e83640,2,2,,NA,,yes,2,-1
roast chicken and mashed potatoes.....smells so good.....almost suppertime.....just need the Mikey =),dcbe08425f5edef5e5c1053f21e83640,2,2,,NA,,no,3,-1
"thanks to the NS Power linesmen that are out in this storm restoring power, we really apprecaite all that you do!!! Powers back and can now smell that deer steak as it finishes cooking.....gonna be yummy!!!",dcbe08425f5edef5e5c1053f21e83640,2,2,,NA,,yes,3,-2
to all of my friends(??`*?-.??Your label says: made in Heaven~ cos you're an Angel... Only handwash~ cos you're fragile...Cold iron~ we don't wanna burn you're wings & Handle with care~ cos you're limited edition!!! Pass this to all those Angel's who have given you their time... support... friendship... help and made ......you laugh when you tho...ught there was little to laugh at as these are your true friends??.?-*????),dcbe08425f5edef5e5c1053f21e83640,2,2,,NA,,yes,3,-2
Economist's definition of Ph.D. student: one who foregoes current income in order to forego future income,dc9d8b2d0083cf18e8e1d16afc4e5395,2,2,,NA,,no,1,-1
I decided to start studying two hours ago and haven't even opened my backpack yet. have feeling that this is going to be very bad week.,dc20f5b91f427d65c9fdbab6d45c8bc2,1,1,,2,catastrophizing,yes,1,-3
"There is love in your body, but you can't get it out; it gets stuck in your head, won't come out of your mouth. It sticks to your tongue and it shows on your face that the sweetest of words have the bitterest taste.",dc20f5b91f427d65c9fdbab6d45c8bc2,1,2,y,2,,yes,3,-2
"Civil Engineering Pop quiz: who here knows what rebar is? If you do, or if you looked it up, then tell the world the difference between Asphalt, Cement, and Concrete. Another fun term: Gabeon!",dc20f5b91f427d65c9fdbab6d45c8bc2,2,2,,NA,,no,3,-1
"Hello, all! I'm going to leave for camp on Sunday, and I'll not be truly back until mid-August, so figured I'll take advantage of the hole in your hearts my leaving will cause to score some mail off y'all. So, when the loneliness becomes too much to bear, just send letter to: Claire Walter Appel Farm P.O. Box Shirley Road Elmer, NJ Xie xie!",dc20f5b91f427d65c9fdbab6d45c8bc2,2,2,,NA,,no,2,-2
"loves watching Doctor Who. British television is wacky and brilliant! /What do you want!A Harvey Wallbanger!?/"" /""HARVEY WALLBANGER!?/"" /""Well don't know!/"" /""HOW IS HARVEY WALLBANGER ONE WORD?!?!/""""",dc20f5b91f427d65c9fdbab6d45c8bc2,2,2,,NA,,yes,4,-1
Finally making Facebook page so can be more connected to my family. I've missed you guys these last monthes.,dbcef4b3cf47ca1e473f71e05347de19,2,2,,NA,,no,1,-2
Probably going to the Livonia Spree tomorrow when get back from school. Come home for dinner and go back maybe..idk yet. Will be going more then once so hope to see people there. Tell me when you'll be up there so we can hang.,dbcef4b3cf47ca1e473f71e05347de19,2,2,,NA,,yes,3,-2
tis' the season to be jollyfa la la la la la la la latis' the season...to..be nut case!! ha ha ha ha ha ha ha ha ha,dba59aed04c6759a955a37f021e45bb7,2,2,,NA,,no,3,-1
"But you promised her, next time you'd show restraint You don't get another chance, life's no Nintendo game But you lied again, now you get to watch her leave out of the window. -Eminem",db7f1b0130b2138e13b7bbca9cc63823,1,2,y,2,,yes,2,-3
